Driver,LapNumber,TrackStatus,SafetyCar,VSC,YellowFlag,RedFlag,RecentSC,Race,Year
RUS,3.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,4.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,5.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,6.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,7.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,8.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,9.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,10.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,11.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,12.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,13.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,14.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,15.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,16.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,17.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,18.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,19.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,20.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,21.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,22.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,23.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,24.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,25.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,26.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,27.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,28.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,29.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,30.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,31.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,32.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,33.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,34.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,35.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,36.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,37.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,38.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,39.0,12,0,0,1,0,0,Abu Dhabi Grand Prix,2022
RUS,40.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,41.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,42.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,43.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,44.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,45.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,46.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,47.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,48.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,49.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,50.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,51.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,52.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,53.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,54.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,55.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,56.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,57.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
RUS,58.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,1.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,2.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,3.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,4.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,5.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,6.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,7.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,8.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,9.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
NOR,10.0,1,0,0,0,0,0,Abu Dhabi Grand Prix,2022
